sample_id,dataset,cancer type,origin,donor,sample type,number of ctcs,number of wbcs attached,timepoint
GSM5452959,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452960,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452961,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452962,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452963,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452964,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,1,1,resting
GSM5452965,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,1,1,resting
GSM5452966,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,2,1,resting
GSM5452967,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,2,1,resting
GSM5452968,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,1,1,resting
GSM5452969,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,2,1,resting
GSM5452970,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,2,1,resting
GSM5452971,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,1,1,active
GSM5452972,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,1,1,active
GSM5452973,GSE180097,breast,patient,Patient,ctc_cluster,2,NULL,resting
GSM5452974,GSE180097,breast,patient,Patient,ctc_cluster,5,NULL,resting
GSM5452975,GSE180097,breast,patient,Patient,ctc_cluster,4,NULL,resting
GSM5452976,GSE180097,breast,patient,Patient,ctc_cluster,7,NULL,resting
GSM5452977,GSE180097,breast,patient,Patient,ctc_cluster,3,NULL,resting
GSM5452978,GSE180097,breast,patient,Patient,ctc_cluster,2,NULL,resting
GSM5452979,GSE180097,breast,patient,Patient,ctc_cluster,3,NULL,resting
GSM5452980,GSE180097,breast,patient,Patient,ctc_cluster,2,NULL,resting
GSM5452981,GSE180097,breast,patient,Patient,ctc_cluster,4,NULL,resting
GSM5452982,GSE180097,breast,patient,Patient,ctc_cluster,2,NULL,active
GSM5452983,GSE180097,breast,patient,Patient,ctc_cluster,5,NULL,active
GSM5452984,GSE180097,breast,patient,Patient,ctc_cluster,4,NULL,active
GSM5452985,GSE180097,breast,patient,Patient,ctc_cluster,3,NULL,active
GSM5452986,GSE180097,breast,patient,Patient,ctc_cluster,2,NULL,active
GSM5452987,GSE180097,breast,patient,Patient,ctc_cluster,2,NULL,resting
GSM5452988,GSE180097,breast,patient,Patient,ctc_cluster,5,NULL,resting
GSM5452989,GSE180097,breast,patient,Patient,ctc_cluster,2,NULL,resting
GSM5452990,GSE180097,breast,patient,Patient,ctc_single,1,NULL,resting
GSM5452991,GSE180097,breast,patient,Patient,ctc_single,1,NULL,resting
GSM5452992,GSE180097,breast,patient,Patient,ctc_single,1,NULL,resting
GSM5452993,GSE180097,breast,patient,Patient,ctc_single,1,NULL,resting
GSM5452994,GSE180097,breast,patient,Patient,ctc_single,1,NULL,resting
GSM5452995,GSE180097,breast,patient,Patient,ctc_single,1,NULL,resting
GSM5452996,GSE180097,breast,patient,Patient,ctc_single,1,NULL,resting
GSM5452997,GSE180097,breast,patient,Patient,ctc_single,1,NULL,active
GSM5452998,GSE180097,breast,patient,Patient,ctc_single,1,NULL,active
GSM5452999,GSE180097,breast,patient,Patient,ctc_single,1,NULL,active
GSM5453000,GSE180097,breast,patient,Patient,ctc_single,1,NULL,active
GSM5453001,GSE180097,breast,patient,Patient,ctc_single,1,NULL,active
GSM5453002,GSE180097,breast,patient,Patient,ctc_single,1,NULL,active
GSM5453003,GSE180097,breast,patient,Patient,ctc_cluster_wbc,1,1,resting
GSM5453004,GSE180097,breast,patient,Patient,ctc_cluster_wbc,2,1,resting
GSM5453005,GSE180097,breast,patient,Patient,ctc_cluster_wbc,1,1,active
GSM5453006,GSE180097,breast,patient,Patient,ctc_cluster_wbc,1,1,active
GSM5453007,GSE180097,breast,patient,Patient,ctc_cluster_wbc,1,1,active
GSM5453008,GSE180097,breast,patient,Patient,ctc_cluster_wbc,1,1,resting
GSM5848408,GSE180097,breast,xenograft,LM2,ctc_cluster,10,NULL,200
GSM5848409,GSE180097,breast,xenograft,LM2,ctc_cluster,11,NULL,200
GSM5848410,GSE180097,breast,xenograft,LM2,ctc_cluster,11,NULL,1000
GSM5848411,GSE180097,breast,xenograft,LM2,ctc_cluster,10,NULL,1000
GSM5848412,GSE180097,breast,xenograft,LM2,ctc_cluster,10,NULL,1000
GSM5848413,GSE180097,breast,xenograft,LM2,ctc_cluster,10,NULL,1800
GSM5848414,GSE180097,breast,xenograft,LM2,ctc_cluster,10,NULL,1800
GSM5848415,GSE180097,breast,xenograft,LM2,ctc_cluster,20,NULL,2200
GSM5848416,GSE180097,breast,xenograft,LM2,ctc_single,10,NULL,200
GSM5848417,GSE180097,breast,xenograft,LM2,ctc_single,10,NULL,200
GSM5848418,GSE180097,breast,xenograft,LM2,ctc_single,10,NULL,600
GSM5848419,GSE180097,breast,xenograft,LM2,ctc_single,10,NULL,1000
GSM5848420,GSE180097,breast,xenograft,LM2,ctc_single,10,NULL,1000
GSM5848421,GSE180097,breast,xenograft,LM2,ctc_single,10,NULL,1000
GSM5848422,GSE180097,breast,xenograft,LM2,ctc_single,10,NULL,1800
GSM5848423,GSE180097,breast,xenograft,LM2,ctc_single,10,NULL,1800
GSM5848424,GSE180097,breast,xenograft,LM2,ctc_single,20,NULL,2200
GSM5848425,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,10,4,200
GSM5848426,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,10,5,1000
GSM5848427,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,8,5,1000
GSM5848428,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,10,5,1000
GSM5848429,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,10,5,1800
GSM5848430,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,10,10,1800
GSM5848431,GSE180097,breast,xenograft,LM2,ctc_cluster_wbc,20,8,2200
